Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-06-20T14:06:00.000Z",174,1,210,35,0,0
"1990-06-20T14:53:00.000Z",173,0,243,0,0,0
"1990-06-20T17:07:00.000Z",173,1,247,0,0,0
"1990-06-20T18:16:00.000Z",8,166,103,140,0,0
"1990-06-21T10:24:00.000Z",59,108,227,6,0,0
"1990-06-21T12:03:00.000Z",0,176,232,15,0,0
"1990-06-21T12:20:00.000Z",1,174,230,18,0,0
"1990-06-21T18:52:00.000Z",159,17,95,160,0,0
"1990-06-21T20:02:00.000Z",17,154,162,82,0,0
"1990-06-26T13:45:00.000Z",0,0,0,0,0,0
"1990-06-26T13:52:00.000Z",75,94,13,229,0,0
"1990-06-26T14:42:00.000Z",121,49,237,6,0,0
"1990-06-26T17:15:00.000Z",98,73,17,229,0,0
"1990-06-26T17:52:00.000Z",83,89,10,234,0,0
"1990-06-26T18:12:00.000Z",114,58,244,1,0,0
"1990-06-27T11:35:00.000Z",19,150,243,7,0,0
"1990-06-27T15:15:00.000Z",138,36,86,162,0,0
"1990-06-27T15:33:00.000Z",166,7,240,4,0,0
"1990-06-27T17:00:00.000Z",153,22,107,141,0,0
"1990-06-27T17:58:00.000Z",108,67,200,50,0,0
"1990-06-28T11:20:00.000Z",108,59,243,0,0,0
"1990-06-28T14:15:00.000Z",0,0,0,0,0,0
"1990-06-28T14:23:00.000Z",65,105,7,232,0,0
"1990-06-28T14:50:00.000Z",48,108,5,235,0,0
"1990-06-28T15:24:00.000Z",124,46,48,189,0,0
"1990-06-28T15:51:00.000Z",128,39,227,9,0,0
"1990-07-10T15:40:00.000Z",156,8,237,0,0,0
"1990-07-10T15:50:00.000Z",130,35,231,8,0,0
"1990-07-10T15:57:00.000Z",163,1,238,0,0,0
"1990-07-10T16:07:00.000Z",148,13,240,0,0,0
"1990-07-11T14:18:00.000Z",0,0,0,0,0,0
"1990-07-11T14:37:00.000Z",22,153,242,7,0,0
"1990-07-11T15:30:00.000Z",1,174,248,0,0,0
"1990-07-11T16:59:00.000Z",145,29,5,243,0,0
"1990-07-11T17:50:00.000Z",172,2,55,193,0,0
"1990-07-11T18:14:00.000Z",158,15,7,242,0,0
"1990-07-11T18:20:00.000Z",83,90,244,3,0,0
"1990-07-12T13:37:00.000Z",25,150,242,1,0,0
"1990-07-12T15:46:00.000Z",160,13,171,75,0,0
"1990-07-12T16:41:00.000Z",112,62,21,221,0,0
"1990-07-12T17:01:00.000Z",142,31,243,0,0,0
"1990-07-12T17:47:00.000Z",115,56,240,2,0,0
"1990-07-12T19:19:00.000Z",124,42,56,182,0,0
"1990-07-12T19:27:00.000Z",145,23,232,5,0,0
"1990-07-13T12:36:00.000Z",139,25,161,66,0,0
"1990-07-13T12:55:00.000Z",156,3,223,4,0,0
"1990-07-13T14:02:00.000Z",103,58,27,196,0,0
"1990-07-13T14:32:00.000Z",128,29,50,172,0,0
"1990-07-13T14:55:00.000Z",86,66,214,6,0,0
"1990-07-17T10:38:00.000Z",131,19,216,0,0,0
"1990-07-17T12:11:00.000Z",108,56,240,3,0,0
"1990-07-17T17:06:00.000Z",149,25,35,219,0,0
"1990-07-17T18:18:00.000Z",169,4,107,148,0,0
"1990-07-17T18:35:00.000Z",169,5,110,145,0,0
"1990-07-18T13:16:00.000Z",104,67,11,238,0,0
"1990-07-18T13:46:00.000Z",102,67,13,233,0,0
"1990-07-18T14:16:00.000Z",144,26,58,190,0,0
"1990-07-18T15:00:00.000Z",156,11,19,203,0,0
"1990-07-18T15:19:00.000Z",96,75,239,11,0,0
"1990-07-18T16:30:00.000Z",0,172,251,1,0,0
"1990-07-18T18:16:00.000Z",173,0,8,244,0,0
"1990-07-18T18:24:00.000Z",42,131,240,13,0,0
"1990-07-19T13:34:00.000Z",112,50,3,243,0,0
"1990-07-19T14:26:00.000Z",144,26,50,194,0,0
"1990-07-19T15:34:00.000Z",83,86,2,247,0,0
"1990-07-19T16:21:00.000Z",122,43,38,210,0,0
"1990-07-19T16:48:00.000Z",92,74,112,138,0,0
"1990-07-19T17:10:00.000Z",108,58,251,0,0,0
"1990-07-20T11:44:00.000Z",153,0,234,0,0,0
"1990-07-20T12:47:00.000Z",101,53,21,211,0,0
"1990-07-20T13:30:00.000Z",148,0,167,59,0,0
"1990-07-20T14:02:00.000Z",123,25,227,0,0,0
"1990-07-23T16:34:00.000Z",89,58,194,22,0,0
"1990-07-24T13:38:00.000Z",70,102,80,169,0,0
"1990-07-24T16:04:00.000Z",10,165,60,188,0,0
"1990-07-24T17:35:00.000Z",150,22,157,92,0,0
"1990-07-25T10:23:00.000Z",58,104,230,7,0,0
"1990-07-25T12:52:00.000Z",38,138,194,57,0,0
"1990-07-25T13:32:00.000Z",87,85,169,79,0,0
"1990-07-25T15:33:00.000Z",152,24,67,186,0,0
"1990-07-25T18:55:00.000Z",70,106,104,145,0,0
"1990-07-25T19:50:00.000Z",66,109,93,154,0,0
"1990-07-26T10:53:00.000Z",0,0,0,0,0,0
"1990-07-26T12:28:00.000Z",36,138,2,252,0,0
"1990-07-26T14:16:00.000Z",0,0,0,0,0,0
"1990-07-26T15:07:00.000Z",129,46,12,241,0,0
"1990-07-26T15:25:00.000Z",164,11,244,7,0,0
"1990-07-26T17:37:00.000Z",162,12,135,111,0,0
"1990-07-26T18:02:00.000Z",142,26,53,193,0,0
"1990-07-26T18:33:00.000Z",37,134,204,44,0,0
"1990-07-27T11:06:00.000Z",67,98,236,0,0,0
"1990-07-27T12:03:00.000Z",84,84,150,91,0,0
"1990-07-27T13:22:00.000Z",109,56,99,135,0,0
"1990-07-27T14:34:00.000Z",95,68,83,147,0,0
"1990-07-30T17:03:00.000Z",67,92,222,1,0,0
"1990-07-30T17:21:00.000Z",72,93,227,0,0,0
"1990-07-30T19:45:00.000Z",112,56,52,183,0,0
"1990-07-30T20:17:00.000Z",120,40,60,174,0,0
"1990-07-30T20:37:00.000Z",107,54,205,28,0,0
"1990-07-31T11:40:00.000Z",30,143,244,5,0,0
"1990-07-31T13:23:00.000Z",0,0,0,0,0,0
"1990-07-31T13:31:00.000Z",164,10,249,5,0,0
"1990-07-31T13:49:00.000Z",46,129,175,76,0,0
