Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-07-11T06:05:00.000Z",44,1,55,0,0,0
"1990-07-12T03:41:00.000Z",19,26,49,6,0,0
"1990-07-12T06:26:00.000Z",20,24,49,6,0,0
"1990-07-13T09:34:00.000Z",37,6,54,0,0,0
"1990-07-13T11:46:00.000Z",23,20,46,9,0,0
"1990-07-13T02:08:00.000Z",20,20,49,4,0,0
"1990-07-17T12:02:00.000Z",21,23,49,6,0,0
"1990-07-17T12:23:00.000Z",19,26,46,9,0,0
"1990-07-17T02:17:00.000Z",22,23,46,9,0,0
"1990-07-17T02:36:00.000Z",8,37,54,1,0,0
"1990-07-17T04:47:00.000Z",9,36,51,4,0,0
"1990-07-18T09:26:00.000Z",10,34,55,0,0,0
"1990-07-18T09:47:00.000Z",10,34,55,0,0,0
"1990-07-19T05:47:00.000Z",28,14,38,16,0,0
"1990-07-20T11:20:00.000Z",35,3,2,47,0,0
"1990-07-23T07:41:00.000Z",30,11,2,49,0,0
"1990-07-23T08:01:00.000Z",34,7,28,22,0,0
"1990-07-24T10:31:00.000Z",17,26,37,18,0,0
"1990-07-24T12:29:00.000Z",30,12,2,53,0,0
"1990-07-24T03:57:00.000Z",13,30,33,22,0,0
"1990-07-24T05:40:00.000Z",14,28,48,6,0,0
"1990-07-24T09:13:00.000Z",0,42,24,30,0,0
"1990-07-24T10:40:00.000Z",17,26,49,4,0,0
"1990-07-25T01:17:00.000Z",4,39,22,33,0,0
"1990-07-25T01:49:00.000Z",20,23,37,18,0,0
"1990-07-25T03:19:00.000Z",42,1,55,0,0,0
"1990-07-25T06:34:00.000Z",41,0,55,0,0,0
"1990-07-26T01:40:00.000Z",38,4,4,51,0,0
"1990-07-26T04:56:00.000Z",31,10,15,40,0,0
"1990-07-27T10:02:00.000Z",39,3,25,29,0,0
"1990-07-27T10:31:00.000Z",32,10,48,6,0,0
"1990-07-27T11:24:00.000Z",19,22,38,16,0,0
"1990-07-27T11:46:00.000Z",37,4,46,8,0,0
"1990-07-27T12:35:00.000Z",10,31,42,12,0,0
"1990-07-27T01:46:00.000Z",21,20,19,35,0,0
"1990-07-27T02:08:00.000Z",15,26,14,40,0,0
"1990-07-27T02:27:00.000Z",16,25,9,43,0,0
"1990-07-27T04:48:00.000Z",15,25,47,5,0,0
"1990-07-27T05:28:00.000Z",32,8,38,13,0,0
"1990-07-30T08:00:00.000Z",44,0,2,49,0,0
"1990-07-31T11:25:00.000Z",41,4,0,55,0,0
"1990-07-31T12:37:00.000Z",3,42,54,1,0,0
"1990-07-31T02:54:00.000Z",22,23,51,4,0,0
"1990-07-31T07:20:00.000Z",41,3,0,55,0,0
"1990-07-31T07:40:00.000Z",43,1,55,0,0,0
"1990-07-31T10:40:00.000Z",0,43,38,17,0,0
"1990-07-31T11:04:00.000Z",38,5,11,44,0,0
"1990-08-01T12:15:00.000Z",24,21,53,2,0,0
"1990-08-01T01:52:00.000Z",31,14,20,35,0,0
"1990-08-01T02:24:00.000Z",44,1,15,40,0,0
"1990-08-01T03:15:00.000Z",4,40,35,20,0,0
"1990-08-01T04:26:00.000Z",7,37,48,7,0,0
"1990-08-01T06:03:00.000Z",43,1,1,54,0,0
"1990-08-01T08:59:00.000Z",44,0,0,55,0,0
"1990-08-01T09:48:00.000Z",42,2,31,24,0,0
"1990-08-01T10:07:00.000Z",5,39,54,1,0,0
"1990-08-02T09:59:00.000Z",44,1,32,22,0,0
"1990-08-02T12:15:00.000Z",45,0,54,0,0,0
"1990-08-02T05:29:00.000Z",44,0,53,2,0,0
"1990-08-02T05:51:00.000Z",8,36,35,20,0,0
"1990-08-02T06:30:00.000Z",9,34,36,19,0,0
"1990-08-02T08:04:00.000Z",39,4,12,43,0,0
"1990-08-02T10:11:00.000Z",43,0,54,0,0,0
"1990-08-03T10:34:00.000Z",12,33,46,8,0,0
"1990-08-03T11:46:00.000Z",40,5,19,35,0,0
"1990-08-03T12:49:00.000Z",39,6,28,26,0,0
"1990-08-03T02:52:00.000Z",40,5,15,39,0,0
"1990-08-03T03:51:00.000Z",34,11,17,37,0,0
